Experiment,Environment,Condition,WhichSubj,PeakCorr_1,PeakCorr_2,PeakCorr_3,PeakLCI_1,PeakLCI_2,PeakLCI_3,PeakUCI_1,PeakUCI_2,PeakUCI_3,LagAtPeak_1,LagAtPeak_2,LagAtPeak_3,LagLCI_1,LagLCI_2,LagLCI_3,LagUCI_1,LagUCI_2,LagUCI_3,WidthHalfPeak_1,WidthHalfPeak_2,WidthHalfPeak_3,WidthLCI_1,WidthLCI_2,WidthLCI_3,WidthUCI_1,WidthUCI_2,WidthUCI_3,isP,vdist,isRefs
VDIST,Sparse,P&Close,subj1,0.275711712460771,0.218019857516066,0.230711236570229,0.183619677463562,0.148017935839171,0.147830430992353,0.36780374745798,0.288021779192961,0.313592042148104,277.777777777778,333.333333333333,333.333333333333,267.163167435809,293.829250277408,291.401351927578,288.392388119746,372.837416389258,375.265314739088,148.058483662762,237.023959725245,277.840549480236,139.853309610405,181.940524057879,195.627881455917,156.263657715118,292.10739539261,360.053217504554,P,Near,NoRefs
VDIST,Sparse,P&Far,subj1,0.181430752965172,0.127788635102069,0.149099146245045,0.128504427222355,0.0737406042551013,0.0878880937411534,0.234357078707988,0.181836665949037,0.210310198748938,277.777777777778,366.666666666667,388.888888888889,255.605394876687,300.697005184467,317.881906457111,299.950160678869,432.636328148867,459.895871320667,173.083889960316,221.00012543532,318.308774742885,137.689231012473,148.025057463149,145.432956333184,208.478548908158,293.97519340749,491.184593152586,P,Far,NoRefs
VDIST,Sparse,NoP&Close,subj1,0.340057734701391,0.311894658296668,0.280492515828408,0.307387377358869,0.279325011879733,0.230803049096263,0.372728092043913,0.344464304713603,0.330181982560554,277.777777777778,322.222222222222,311.111111111111,256.664849761328,303.94989890561,275.88936041551,298.890705794228,340.494545538835,346.332861806713,171.383659426947,234.072656727724,253.080193492212,154.258810189643,204.186956186655,187.727051544007,188.508508664251,263.958357268794,318.433335440417,NoP,Near,NoRefs
VDIST,Sparse,NoP&Far,subj1,0.184935046748036,0.130777674712027,0.130455697711666,0.140608091455151,0.097363482696504,0.0794010196831211,0.229262002040922,0.16419186672755,0.181510375740211,288.888888888889,233.333333333333,500,263.228843700138,125.330280533843,401.037906198918,314.54893407764,341.336386132823,598.962093801082,162.180100349481,279.127817931996,504.912614666436,133.506980721007,192.059078416576,240.747842137553,190.853219977954,366.196557447415,769.07738719532,NoP,Far,NoRefs
VDIST,Sparse,P&Close,subj2,0.322188520853722,0.267929752301357,0.210378343190327,0.28978141114178,0.222665372257067,0.183988342113569,0.354595630565663,0.313194132345647,0.236768344267085,255.555555555556,266.666666666667,288.888888888889,245.343961670087,251.330757724212,273.844323287831,265.767149441024,282.002575609122,303.933454489947,119.781905845078,145.549969523935,201.565136443132,109.093514917444,124.622982141648,62.938787493308,130.470296772711,166.476956906221,340.191485392957,P,Near,NoRefs
VDIST,Sparse,P&Far,subj2,0.271331621131188,0.212366443397317,0.0944929917631778,0.237417114622643,0.182521717352701,0.0687718070858349,0.305246127639733,0.242211169441933,0.120214176440521,255.555555555556,244.444444444444,400,246.024980381993,223.442585580986,208.267919797104,265.086130729118,265.446303307903,591.732080202896,115.760961937539,167.270518840957,494.481715220061,103.766489638675,128.402803916664,277.184458122909,127.755434236402,206.13823376525,711.778972317212,P,Far,NoRefs
VDIST,Sparse,NoP&Close,subj2,0.285135330645173,0.264107886366835,0.213949564717876,0.231438286322311,0.224215407899888,0.161798381416173,0.338832374968034,0.304000364833781,0.266100748019579,277.777777777778,255.555555555556,300,264.761840906026,242.450679007249,274.908098908226,290.79371464953,268.660432103862,325.091901091774,120.524128687471,176.823466468418,213.601634379473,107.967436092209,155.407477327558,119.788375039941,133.080821282733,198.239455609278,307.414893719004,NoP,Near,NoRefs
VDIST,Sparse,NoP&Far,subj2,0.256034091271229,0.232065822573528,0.131783992089921,0.231795669644045,0.182105526884671,0.104015725167175,0.280272512898412,0.282026118262385,0.159552259012666,255.555555555556,244.444444444444,555.555555555556,245.159984576874,235.383447767292,459.25363352393,265.951126534237,253.505441121597,651.857477587181,123.543927215872,133.343302889393,392.272084057433,113.256252976185,99.1301401720615,193.005273581325,133.831601455558,167.556465606724,591.538894533542,NoP,Far,NoRefs
VDIST,Sparse,P&Close,subj3,0.370916968867477,0.296646602700922,0.322332251022464,0.33231615278896,0.245351460725879,0.281680274093657,0.409517784945995,0.347941744675965,0.362984227951271,255.555555555556,277.777777777778,277.777777777778,245.769328956514,250.828586678775,247.896423682104,265.341782154597,304.72696887678,307.659131873452,143.186089030557,212.736389090669,201.871154964493,122.874820760256,159.981265524794,161.969386260367,163.497357300858,265.491512656545,241.77292366862,P,Near,NoRefs
VDIST,Sparse,P&Far,subj3,0.307363079139732,0.23822526080908,0.210402438894689,0.273704068666645,0.206421821739603,0.178714854430656,0.34102208961282,0.270028699878557,0.242090023358721,266.666666666667,255.555555555556,311.111111111111,254.200047643516,236.024820106348,274.402166669865,279.133285689817,275.086291004764,347.820055552357,158.146657205884,196.452181147837,289.763656510529,135.716812553966,160.326173205176,123.237455061284,180.576501857802,232.578189090497,456.289857959774,P,Far,NoRefs
